,name,artist,id,duration,popularity,genres,playlist,features,created_at
89,'Malibu','Miley Cyrus',1UZOjK1BwmwWU14Erba9CZ,231906,74,"['dance pop', 'pop', 'post-teen pop']",Hit Rewind,"{""danceability"": 0.573, ""energy"": 0.781, ""key"": 8, ""loudness"": -6.406, ""mode"": 1, ""speechiness"": 0.0555, ""acousticness"": 0.0767, ""instrumentalness"": 2.64e-05, ""liveness"": 0.0813, ""valence"": 0.343, ""tempo"": 139.934, ""type"": ""audio_features"", ""id"": ""1UZOjK1BwmwWU14Erba9CZ"", ""uri"": ""spotify:track:1UZOjK1BwmwWU14Erba9CZ"", ""track_href"": ""https://api.spotify.com/v1/tracks/1UZOjK1BwmwWU14Erba9CZ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1UZOjK1BwmwWU14Erba9CZ"", ""duration_ms"": 231907, ""time_signature"": 4}",1668281541.71273
88,'ocean eyes','Billie Eilish',7hDVYcQq6MxkdJGweuCtl9,200379,79,"['art pop', 'electropop', 'pop']",Hit Rewind,"{""danceability"": 0.511, ""energy"": 0.363, ""key"": 4, ""loudness"": -7.65, ""mode"": 0, ""speechiness"": 0.041, ""acousticness"": 0.816, ""instrumentalness"": 0.0317, ""liveness"": 0.084, ""valence"": 0.169, ""tempo"": 144.892, ""type"": ""audio_features"", ""id"": ""7hDVYcQq6MxkdJGweuCtl9"", ""uri"": ""spotify:track:7hDVYcQq6MxkdJGweuCtl9"", ""track_href"": ""https://api.spotify.com/v1/tracks/7hDVYcQq6MxkdJGweuCtl9"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7hDVYcQq6MxkdJGweuCtl9"", ""duration_ms"": 200379, ""time_signature"": 4}",1668281541.193287
87,'Sign of the Times','Harry Styles',5Ohxk2dO5COHF1krpoPigN,340706,83,['pop'],Hit Rewind,"{""danceability"": 0.516, ""energy"": 0.595, ""key"": 5, ""loudness"": -4.63, ""mode"": 1, ""speechiness"": 0.0313, ""acousticness"": 0.0275, ""instrumentalness"": 0, ""liveness"": 0.109, ""valence"": 0.222, ""tempo"": 119.972, ""type"": ""audio_features"", ""id"": ""5Ohxk2dO5COHF1krpoPigN"", ""uri"": ""spotify:track:5Ohxk2dO5COHF1krpoPigN"", ""track_href"": ""https://api.spotify.com/v1/tracks/5Ohxk2dO5COHF1krpoPigN"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5Ohxk2dO5COHF1krpoPigN"", ""duration_ms"": 340707, ""time_signature"": 4}",1668281540.664759
86,'Need You Now','Lady A',7GAaTpSoTWUTbP2Yxlt4Hd,236440,73,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'pop']",Hit Rewind,"{""danceability"": 0.581, ""energy"": 0.717, ""key"": 4, ""loudness"": -4.433, ""mode"": 1, ""speechiness"": 0.0318, ""acousticness"": 0.0298, ""instrumentalness"": 0.000186, ""liveness"": 0.243, ""valence"": 0.316, ""tempo"": 107.884, ""type"": ""audio_features"", ""id"": ""7GAaTpSoTWUTbP2Yxlt4Hd"", ""uri"": ""spotify:track:7GAaTpSoTWUTbP2Yxlt4Hd"", ""track_href"": ""https://api.spotify.com/v1/tracks/7GAaTpSoTWUTbP2Yxlt4Hd"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7GAaTpSoTWUTbP2Yxlt4Hd"", ""duration_ms"": 236440, ""time_signature"": 4}",1668281540.140694
85,'Rude','MAGIC!',3tCwjWLicbjsMCvXhN0WOE,224773,65,"['pop', 'reggae fusion']",Hit Rewind,"{""danceability"": 0.743, ""energy"": 0.807, ""key"": 1, ""loudness"": -3.78, ""mode"": 1, ""speechiness"": 0.0364, ""acousticness"": 0.0435, ""instrumentalness"": 0, ""liveness"": 0.309, ""valence"": 0.899, ""tempo"": 144.062, ""type"": ""audio_features"", ""id"": ""3tCwjWLicbjsMCvXhN0WOE"", ""uri"": ""spotify:track:3tCwjWLicbjsMCvXhN0WOE"", ""track_href"": ""https://api.spotify.com/v1/tracks/3tCwjWLicbjsMCvXhN0WOE"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3tCwjWLicbjsMCvXhN0WOE"", ""duration_ms"": 224773, ""time_signature"": 4}",1668281539.622535
84,"'Love Me Like You Do - From ""Fifty Shades Of Grey""'",'Ellie Goulding',3zHq9ouUJQFQRf3cm1rRLu,252534,78,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",Hit Rewind,"{""danceability"": 0.262, ""energy"": 0.606, ""key"": 8, ""loudness"": -6.646, ""mode"": 1, ""speechiness"": 0.0484, ""acousticness"": 0.247, ""instrumentalness"": 0, ""liveness"": 0.125, ""valence"": 0.275, ""tempo"": 189.857, ""type"": ""audio_features"", ""id"": ""3zHq9ouUJQFQRf3cm1rRLu"", ""uri"": ""spotify:track:3zHq9ouUJQFQRf3cm1rRLu"", ""track_href"": ""https://api.spotify.com/v1/tracks/3zHq9ouUJQFQRf3cm1rRLu"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3zHq9ouUJQFQRf3cm1rRLu"", ""duration_ms"": 252534, ""time_signature"": 4}",1668281539.097514
83,'Grenade','Bruno Mars',2tJulUYLDKOg9XrtVkMgcJ,222091,77,"['dance pop', 'pop']",Hit Rewind,"{""danceability"": 0.704, ""energy"": 0.558, ""key"": 2, ""loudness"": -7.273, ""mode"": 0, ""speechiness"": 0.0542, ""acousticness"": 0.148, ""instrumentalness"": 0, ""liveness"": 0.107, ""valence"": 0.245, ""tempo"": 110.444, ""type"": ""audio_features"", ""id"": ""2tJulUYLDKOg9XrtVkMgcJ"", ""uri"": ""spotify:track:2tJulUYLDKOg9XrtVkMgcJ"", ""track_href"": ""https://api.spotify.com/v1/tracks/2tJulUYLDKOg9XrtVkMgcJ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2tJulUYLDKOg9XrtVkMgcJ"", ""duration_ms"": 222091, ""time_signature"": 4}",1668281538.572847
82,'Like I'm Gonna Lose You (feat. John Legend)','Meghan Trainor',2YlZnw2ikdb837oKMKjBkW,225053,78,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",Hit Rewind,"{""danceability"": 0.63, ""energy"": 0.53, ""key"": 0, ""loudness"": -7.259, ""mode"": 1, ""speechiness"": 0.0434, ""acousticness"": 0.4, ""instrumentalness"": 0, ""liveness"": 0.177, ""valence"": 0.417, ""tempo"": 108.038, ""type"": ""audio_features"", ""id"": ""2YlZnw2ikdb837oKMKjBkW"", ""uri"": ""spotify:track:2YlZnw2ikdb837oKMKjBkW"", ""track_href"": ""https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2YlZnw2ikdb837oKMKjBkW"", ""duration_ms"": 225053, ""time_signature"": 3}",1668281538.038699
81,'lovely (with Khalid)','Billie Eilish',0u2P5u6lvoDfwTYjAADbn4,200185,88,"['art pop', 'electropop', 'pop']",Hit Rewind,"{""danceability"": 0.351, ""energy"": 0.296, ""key"": 4, ""loudness"": -10.109, ""mode"": 0, ""speechiness"": 0.0333, ""acousticness"": 0.934, ""instrumentalness"": 0, ""liveness"": 0.095, ""valence"": 0.12, ""tempo"": 115.284, ""type"": ""audio_features"", ""id"": ""0u2P5u6lvoDfwTYjAADbn4"", ""uri"": ""spotify:track:0u2P5u6lvoDfwTYjAADbn4"", ""track_href"": ""https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4"", ""duration_ms"": 200186, ""time_signature"": 4}",1668281537.512037
80,'Ho Hey','The Lumineers',71x5vAflxm7sCZwZG9Pbhz,163133,30,"['folk-pop', 'pop', 'stomp and holler']",Hit Rewind,"{""danceability"": 0.684, ""energy"": 0.47, ""key"": 0, ""loudness"": -9.087, ""mode"": 1, ""speechiness"": 0.0326, ""acousticness"": 0.799, ""instrumentalness"": 0, ""liveness"": 0.0711, ""valence"": 0.38, ""tempo"": 79.934, ""type"": ""audio_features"", ""id"": ""71x5vAflxm7sCZwZG9Pbhz"", ""uri"": ""spotify:track:71x5vAflxm7sCZwZG9Pbhz"", ""track_href"": ""https://api.spotify.com/v1/tracks/71x5vAflxm7sCZwZG9Pbhz"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/71x5vAflxm7sCZwZG9Pbhz"", ""duration_ms"": 163133, ""time_signature"": 4}",1668281536.970354
