,title,artist,id,duration,popularity,features,timestamp,created_at
39,'Falling Like The Stars','James Arthur',15xWRPHQMeqgdkGzInx3PY,212720,70,"{""danceability"": 0.296, ""energy"": 0.351, ""key"": 6, ""loudness"": -9.538, ""mode"": 1, ""speechiness"": 0.0352, ""acousticness"": 0.823, ""instrumentalness"": 1.45e-06, ""liveness"": 0.11, ""valence"": 0.19, ""tempo"": 177.06, ""type"": ""audio_features"", ""id"": ""15xWRPHQMeqgdkGzInx3PY"", ""uri"": ""spotify:track:15xWRPHQMeqgdkGzInx3PY"", ""track_href"": ""https://api.spotify.com/v1/tracks/15xWRPHQMeqgdkGzInx3PY"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/15xWRPHQMeqgdkGzInx3PY"", ""duration_ms"": 212720, ""time_signature"": 3}",1663380968.854,1663418928.671713
38,'If the World Was Ending (feat. Julia Michaels)','JP Saxe',2kJwzbxV2ppxnQoYw4GLBZ,208687,78,"{""danceability"": 0.464, ""energy"": 0.473, ""key"": 1, ""loudness"": -10.086, ""mode"": 1, ""speechiness"": 0.129, ""acousticness"": 0.866, ""instrumentalness"": 0, ""liveness"": 0.109, ""valence"": 0.604, ""tempo"": 75.801, ""type"": ""audio_features"", ""id"": ""2kJwzbxV2ppxnQoYw4GLBZ"", ""uri"": ""spotify:track:2kJwzbxV2ppxnQoYw4GLBZ"", ""track_href"": ""https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2kJwzbxV2ppxnQoYw4GLBZ"", ""duration_ms"": 208687, ""time_signature"": 4}",1663381177.815,1663418928.348996
37,'Happier','Ed Sheeran',2RttW7RAu5nOAfq6YFvApB,207520,80,"{""danceability"": 0.522, ""energy"": 0.385, ""key"": 0, ""loudness"": -7.355, ""mode"": 1, ""speechiness"": 0.0288, ""acousticness"": 0.536, ""instrumentalness"": 0, ""liveness"": 0.135, ""valence"": 0.236, ""tempo"": 89.792, ""type"": ""audio_features"", ""id"": ""2RttW7RAu5nOAfq6YFvApB"", ""uri"": ""spotify:track:2RttW7RAu5nOAfq6YFvApB"", ""track_href"": ""https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB"", ""duration_ms"": 207520, ""time_signature"": 4}",1663381386.638,1663418928.04106
36,'Yellow','Coldplay',3AJwUDP919kvQ9QcozQPxg,266773,89,"{""danceability"": 0.429, ""energy"": 0.661, ""key"": 11, ""loudness"": -7.227, ""mode"": 1, ""speechiness"": 0.0281, ""acousticness"": 0.00239, ""instrumentalness"": 0.000121, ""liveness"": 0.234, ""valence"": 0.285, ""tempo"": 173.372, ""type"": ""audio_features"", ""id"": ""3AJwUDP919kvQ9QcozQPxg"", ""uri"": ""spotify:track:3AJwUDP919kvQ9QcozQPxg"", ""track_href"": ""https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg"", ""duration_ms"": 266773, ""time_signature"": 4}",1663381653.901,1663418927.72871
35,'Just a Song Before I Go',"'Crosby, Stills & Nash'",4dAN7KcWCWx5jV6dpwtfvN,133960,60,"{""danceability"": 0.671, ""energy"": 0.233, ""key"": 11, ""loudness"": -18.003, ""mode"": 0, ""speechiness"": 0.0378, ""acousticness"": 0.875, ""instrumentalness"": 0.00016, ""liveness"": 0.12, ""valence"": 0.486, ""tempo"": 108.065, ""type"": ""audio_features"", ""id"": ""4dAN7KcWCWx5jV6dpwtfvN"", ""uri"": ""spotify:track:4dAN7KcWCWx5jV6dpwtfvN"", ""track_href"": ""https://api.spotify.com/v1/tracks/4dAN7KcWCWx5jV6dpwtfvN"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4dAN7KcWCWx5jV6dpwtfvN"", ""duration_ms"": 133960, ""time_signature"": 4}",1663381788.09,1663418927.425647
34,'Have It All','Jason Mraz',1pIMxRddmCGalHnRbLFkWg,226098,53,"{""danceability"": 0.643, ""energy"": 0.617, ""key"": 1, ""loudness"": -4.95, ""mode"": 0, ""speechiness"": 0.041, ""acousticness"": 0.194, ""instrumentalness"": 0, ""liveness"": 0.0989, ""valence"": 0.592, ""tempo"": 82.029, ""type"": ""audio_features"", ""id"": ""1pIMxRddmCGalHnRbLFkWg"", ""uri"": ""spotify:track:1pIMxRddmCGalHnRbLFkWg"", ""track_href"": ""https://api.spotify.com/v1/tracks/1pIMxRddmCGalHnRbLFkWg"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1pIMxRddmCGalHnRbLFkWg"", ""duration_ms"": 226098, ""time_signature"": 4}",1663382014.217,1663418927.098253
33,'The Bones - with Hozier','Maren Morris',1yTTMcUhL7rtz08Dsgb7Qb,197298,70,"{""danceability"": 0.561, ""energy"": 0.597, ""key"": 11, ""loudness"": -6.0, ""mode"": 0, ""speechiness"": 0.0405, ""acousticness"": 0.286, ""instrumentalness"": 0, ""liveness"": 0.0979, ""valence"": 0.355, ""tempo"": 76.826, ""type"": ""audio_features"", ""id"": ""1yTTMcUhL7rtz08Dsgb7Qb"", ""uri"": ""spotify:track:1yTTMcUhL7rtz08Dsgb7Qb"", ""track_href"": ""https://api.spotify.com/v1/tracks/1yTTMcUhL7rtz08Dsgb7Qb"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1yTTMcUhL7rtz08Dsgb7Qb"", ""duration_ms"": 197299, ""time_signature"": 4}",1663382212.435,1663418926.792
32,'You Are The Reason','Calum Scott',69vToJ9BMbbLlFZo7k7A7B,204326,81,"{""danceability"": 0.329, ""energy"": 0.235, ""key"": 10, ""loudness"": -7.699, ""mode"": 1, ""speechiness"": 0.0303, ""acousticness"": 0.918, ""instrumentalness"": 0, ""liveness"": 0.137, ""valence"": 0.22, ""tempo"": 171.006, ""type"": ""audio_features"", ""id"": ""69vToJ9BMbbLlFZo7k7A7B"", ""uri"": ""spotify:track:69vToJ9BMbbLlFZo7k7A7B"", ""track_href"": ""https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B"", ""duration_ms"": 204326, ""time_signature"": 3}",1663382417.554,1663418926.471284
31,'Let's Fall in Love for the Night','FINNEAS',7kQkmyoHCEqwe7QwDbkSXM,190348,71,"{""danceability"": 0.737, ""energy"": 0.408, ""key"": 5, ""loudness"": -7.941, ""mode"": 1, ""speechiness"": 0.104, ""acousticness"": 0.802, ""instrumentalness"": 0, ""liveness"": 0.171, ""valence"": 0.374, ""tempo"": 127.921, ""type"": ""audio_features"", ""id"": ""7kQkmyoHCEqwe7QwDbkSXM"", ""uri"": ""spotify:track:7kQkmyoHCEqwe7QwDbkSXM"", ""track_href"": ""https://api.spotify.com/v1/tracks/7kQkmyoHCEqwe7QwDbkSXM"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7kQkmyoHCEqwe7QwDbkSXM"", ""duration_ms"": 190348, ""time_signature"": 4}",1663382608.495,1663418926.159382
30,'Be Alright','Dean Lewis',3EPXxR3ImUwfayaurPi3cm,196373,79,"{""danceability"": 0.553, ""energy"": 0.586, ""key"": 11, ""loudness"": -6.319, ""mode"": 1, ""speechiness"": 0.0362, ""acousticness"": 0.697, ""instrumentalness"": 0, ""liveness"": 0.0813, ""valence"": 0.443, ""tempo"": 126.684, ""type"": ""audio_features"", ""id"": ""3EPXxR3ImUwfayaurPi3cm"", ""uri"": ""spotify:track:3EPXxR3ImUwfayaurPi3cm"", ""track_href"": ""https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm"", ""duration_ms"": 196373, ""time_signature"": 4}",1663382805.523,1663418925.847181
